id,rtt_ms,jitter_ms
792,0.328299,0.0259
793,0.271099,0.0572
794,0.350199,0.0791
795,0.433699,0.0835
796,0.329999,0.1037
797,0.383999,0.054
798,0.366999,0.017
799,0.404399,0.0374
800,0.455199,0.0508
801,0.313299,0.1419
802,0.271799,0.0415
803,0.398299,0.1265
804,0.464198,0.065899
805,0.487299,0.023101
806,1.0725,0.585199
807,0.383099,0.689399
808,0.411099,0.028
809,0.414899,0.0038
810,0.446899,0.032
811,0.465999,0.0191
812,0.344399,0.1216
813,0.350699,0.0063
814,0.371199,0.0205
815,0.481398,0.110199
816,0.380099,0.101299
817,0.342099,0.038
818,0.456599,0.1145
819,0.401199,0.0554
820,0.454099,0.0529
821,1.151,0.696899
822,0.482799,0.668199
823,0.828298,0.345499
824,0.462498,0.3658
825,0.379499,0.082999
826,0.504698,0.125199
827,0.395399,0.109299
828,0.543998,0.148599
829,0.391699,0.152299
830,0.355999,0.0357
831,0.363899,0.0079
832,0.3593,0.004599
833,0.407499,0.048199
834,0.473599,0.0661
835,0.411099,0.0625
836,0.404499,0.0066
837,0.459499,0.055
838,0.522999,0.0635
839,0.617598,0.094599
840,0.437499,0.180099
841,0.403899,0.0336
842,0.310899,0.093
843,0.313899,0.003
844,0.362999,0.0491
845,0.286299,0.0767
846,0.325699,0.0394
847,0.266799,0.0589
848,0.289899,0.0231
849,0.3126,0.022701
850,0.265099,0.047501
851,0.252,0.013099
852,0.365399,0.113399
853,0.358299,0.0071
854,0.693898,0.335599
855,0.375799,0.318099
856,0.576198,0.200399
857,0.305199,0.270999
858,0.409599,0.1044
859,0.326499,0.0831
860,0.385499,0.059
861,0.359499,0.026
862,0.3569,0.002599
863,0.290199,0.066701
864,0.402399,0.1122
865,0.287799,0.1146
866,0.3258,0.038001
867,0.306899,0.018901
868,0.383299,0.0764
869,0.265099,0.1182
870,0.404699,0.1396
871,0.697098,0.292399
872,0.432999,0.264099
873,0.287899,0.1451
874,0.314999,0.0271
875,0.2773,0.037699
876,0.272399,0.004901
877,0.2343,0.038099
878,0.253099,0.018799
879,0.2866,0.033501
880,0.263599,0.023001
881,0.2647,0.001101
882,0.252599,0.012101
883,0.251599,0.001
884,0.2646,0.013001
885,0.218699,0.045901
886,0.2656,0.046901
887,0.496499,0.230899
888,0.667199,0.1707
889,0.429399,0.2378
890,0.3016,0.127799
891,0.251399,0.050201
892,0.2181,0.033299
893,0.241699,0.023599
894,0.2989,0.057201
895,0.224399,0.074501
896,0.233,0.008601
897,0.2381,0.0051
898,0.294399,0.056299
899,0.267299,0.0271
900,0.2313,0.035999
901,0.233299,0.001999
902,0.2191,0.014199
903,0.2561,0.037
904,0.721598,0.465498
905,0.531599,0.189999
906,0.547599,0.016
907,0.326399,0.2212
908,0.436199,0.1098
909,0.332299,0.1039
910,0.346899,0.0146
911,0.314999,0.0319
912,0.270999,0.044
913,0.321999,0.051
914,0.308199,0.0138
915,0.288199,0.02
916,0.296,0.007801
917,0.266099,0.029901
918,0.302799,0.0367
919,0.225099,0.0777
920,0.347299,0.1222
921,0.516998,0.169699
922,0.744898,0.2279
923,0.347299,0.397599
924,0.333799,0.0135
925,0.266699,0.0671
926,0.264199,0.0025
927,0.283699,0.0195
928,0.393599,0.1099
929,0.3234,0.070199
930,0.2774,0.046
931,0.2722,0.0052
932,0.313499,0.041299
933,0.2528,0.060699
934,0.298999,0.046199
935,0.235199,0.0638
936,0.352999,0.1178
937,0.295999,0.057
938,0.509198,0.213199
939,0.390199,0.118999
940,0.372599,0.0176
941,0.264699,0.1079
942,0.254499,0.0102
943,0.248899,0.0056
944,0.2303,0.018599
945,0.248999,0.018699
946,0.2859,0.036901
947,0.228499,0.057401
948,0.370199,0.1417
949,0.2484,0.121799
950,0.2288,0.0196
951,0.243899,0.015099
952,0.342699,0.0988
953,0.376199,0.0335
954,0.597798,0.221599
955,0.421998,0.1758
956,0.355899,0.066099
957,0.251399,0.1045
958,0.308499,0.0571
959,0.256899,0.0516
960,0.268799,0.0119
961,0.233099,0.0357
962,0.232099,0.001
963,0.2728,0.040701
964,0.343599,0.070799
965,0.256599,0.087
966,0.285899,0.0293
967,0.237399,0.0485
968,0.242299,0.0049
969,0.250599,0.0083
970,0.372199,0.1216
971,0.633198,0.260999
972,0.376899,0.256299
973,0.557098,0.180199
974,0.3125,0.244598
975,0.295899,0.016601
976,0.2784,0.017499
977,0.258699,0.019701
978,0.2504,0.008299
979,0.274399,0.023999
980,0.317099,0.0427
981,0.259999,0.0571
982,0.242399,0.0176
983,0.3113,0.068901
984,0.243999,0.067301
985,0.2169,0.027099
986,0.334699,0.117799
987,0.351999,0.0173
988,0.506798,0.154799
989,0.428899,0.077899
990,0.282099,0.1468
991,0.267899,0.0142
992,0.285799,0.0179
993,0.269199,0.0166
994,0.281099,0.0119
995,0.247599,0.0335
996,0.281999,0.0344
997,0.291199,0.0092
998,0.2548,0.036399
999,0.234,0.0208
1000,0.2191,0.0149
1001,0.2254,0.0063
1002,0.2466,0.0212
1003,0.327799,0.081199
1004,0.669498,0.341699
1005,0.395899,0.273599
1006,0.483699,0.0878
1007,0.358099,0.1256
1008,0.383899,0.0258
1009,0.324899,0.059
1010,0.326799,0.0019
1011,0.294999,0.0318
1012,0.284299,0.0107
1013,0.2718,0.012499
1014,0.355499,0.083699
1015,0.297899,0.0576
1016,0.250899,0.047
1017,0.2286,0.022299
1018,0.233099,0.004499
1019,0.222199,0.0109
1020,0.381499,0.1593
1021,0.587498,0.205999
1022,0.814098,0.2266
1023,0.407299,0.406799
1024,0.447299,0.04
1025,0.398199,0.0491
1026,0.395099,0.0031
1027,0.298599,0.0965
1028,0.333499,0.0349
1029,0.291599,0.0419
1030,0.297899,0.0063
1031,0.365599,0.0677
1032,0.364199,0.0014
1033,0.335399,0.0288
1034,0.278299,0.0571
1035,0.310199,0.0319
1036,0.510799,0.2006
1037,0.411899,0.0989
1038,0.564898,0.152999
1039,0.611999,0.047101
1040,0.437399,0.1746
1041,0.2585,0.178899
1042,0.295299,0.036799
1043,0.2919,0.003399
1044,0.299299,0.007399
1045,0.2349,0.064399
